Energy,Grooming,Shedding,Trainability,Group,Breed
Regular Exercise,Weekly Brushing,Seasonal,Agreeable,Foundation Stock Service,Kooikerhondje
Regular Exercise,Weekly Brushing,Seasonal,Agreeable,Herding Group,Azawakh
Regular Exercise,Weekly Brushing,Seasonal,Agreeable,Hound Group,Bloodhound
Regular Exercise,Weekly Brushing,Seasonal,Agreeable,Non-Sporting Group,Norwegian Elkhound
Regular Exercise,Weekly Brushing,Seasonal,Agreeable,Sporting Group,Schipperke
,,,,,
Regular Exercise,Weekly Brushing,Seasonal,Eager to Please,Herding Group,English Springer Spaniel
Regular Exercise,Weekly Brushing,Seasonal,Eager to Please,Herding Group,Newfoundland
Regular Exercise,Weekly Brushing,Seasonal,Eager to Please,Sporting Group,Pug
Regular Exercise,Weekly Brushing,Seasonal,Eager to Please,Sporting Group,Pyrenean Shepherd
,,,,,
Regular Exercise,Weekly Brushing,Seasonal,Easy Training,Foundation Stock Service,Lakeland Terrier
Regular Exercise,Weekly Brushing,Seasonal,Easy Training,Hound Group,Black And Tan Coonhound
Regular Exercise,Weekly Brushing,Seasonal,Easy Training,Sporting Group,Rat Terrier
Regular Exercise,Weekly Brushing,Seasonal,Easy Training,Terrier Group,Barbet
,,,,,
Regular Exercise,Weekly Brushing,Seasonal,Independent,Foundation Stock Service,Otterhound
Regular Exercise,Weekly Brushing,Seasonal,Independent,Hound Group,Cesky Terrier
Regular Exercise,Weekly Brushing,Seasonal,Independent,Hound Group,Papillon
Regular Exercise,Weekly Brushing,Seasonal,Independent,Non-Sporting Group,Canaan Dog
Regular Exercise,Weekly Brushing,Seasonal,Independent,Non-Sporting Group,Field Spaniel
Regular Exercise,Weekly Brushing,Seasonal,Independent,Non-Sporting Group,Norwegian Lundehund
Regular Exercise,Weekly Brushing,Seasonal,Independent,Sporting Group,Neapolitan Mastiff
Regular Exercise,Weekly Brushing,Seasonal,Independent,Terrier Group,Dachshund
Regular Exercise,Weekly Brushing,Seasonal,Independent,Terrier Group,Japanese Chin
Regular Exercise,Weekly Brushing,Seasonal,Independent,Working Group,Cairn Terrier
Regular Exercise,Weekly Brushing,Seasonal,Independent,Working Group,German Shepherd Dog
Regular Exercise,Weekly Brushing,Seasonal,Independent,Working Group,Norfolk Terrier
