Energy,Grooming,Shedding,Trainability,Group,Breed
Calm,2-3 Times a Week Brushing,Infrequent,May be Stubborn,Hound Group,Caucasian Shepherd Dog
Calm,2-3 Times a Week Brushing,Occasional,Eager to Please,Terrier Group,Pekingese
Calm,2-3 Times a Week Brushing,Seasonal,Easy Training,Toy Group,Bolognese
Calm,Daily Brushing,Seasonal,Eager to Please,Working Group,Polish Lowland Sheepdog
Calm,Occasional Bath/Brush,2-3 Times a Week Brushing,Independent,Working Group,Boerboel
Calm,Occasional Bath/Brush,Occasional,Agreeable,Hound Group,French Bulldog
Calm,Weekly Brushing,Seasonal,Eager to Please,Non-Sporting Group,Cavalier King Charles Spaniel
Calm,Weekly Brushing,Seasonal,Independent,C:\Users\abracho\Desktop\Master\project-pupdate\sunburst template\example\flare\dataflare.json,Tibetan Spaniel
Energetic,2-3 Times a Week Brushing,Infrequent,Agreeable,Miscellaneous Class,Soft Coated Wheaten Terrier
Energetic,2-3 Times a Week Brushing,Infrequent,Agreeable,Terrier Group,English Setter
Energetic,2-3 Times a Week Brushing,Infrequent,Eager to Please,Sporting Group,Beagle
Energetic,2-3 Times a Week Brushing,Occasional,Agreeable,Terrier Group,Alaskan Malamute
Energetic,2-3 Times a Week Brushing,Occasional,Independent,Hound Group,Samoyed
Energetic,2-3 Times a Week Brushing,Occasional,Independent,Hound Group,Tibetan Terrier
Energetic,2-3 Times a Week Brushing,Regularly,Eager to Please,Foundation Stock Service,Bernese Mountain Dog
Energetic,2-3 Times a Week Brushing,Regularly,May be Stubborn,Foundation Stock Service,Belgian Sheepdog
Energetic,2-3 Times a Week Brushing,Regularly,May be Stubborn,Herding Group,Belgian Tervuren
Energetic,2-3 Times a Week Brushing,Seasonal,Agreeable,Hound Group,Welsh Terrier
Energetic,2-3 Times a Week Brushing,Seasonal,Eager to Please,Herding Group,Chesapeake Bay Retriever
Energetic,2-3 Times a Week Brushing,Seasonal,Independent,Working Group,Bedlington Terrier
Energetic,Daily Brushing,2-3 Times a Week Brushing,Agreeable,Terrier Group,Akita
Energetic,Daily Brushing,Seasonal,Easy Training,Herding Group,Black Russian Terrier
Energetic,Daily Brushing,Seasonal,Easy Training,Herding Group,Bouvier Des Flandres
Energetic,Daily Brushing,Seasonal,Easy Training,Herding Group,Portuguese Water Dog
Energetic,Daily Brushing,Seasonal,Independent,Herding Group,Afghan Hound
Energetic,Occasional Bath/Brush,Frequent,Easy Training,Working Group,American Foxhound
Energetic,Occasional Bath/Brush,Infrequent,Agreeable,Foundation Stock Service,Great Dane
Energetic,Occasional Bath/Brush,Infrequent,Agreeable,Non-Sporting Group,Basenji
Energetic,Occasional Bath/Brush,Infrequent,Eager to Please,Non-Sporting Group,Saluki
Energetic,Occasional Bath/Brush,Occasional,Agreeable,Working Group,English Foxhound
Energetic,Occasional Bath/Brush,Occasional,Easy Training,Terrier Group,Lancashire Heeler
Energetic,Occasional Bath/Brush,Occasional,Easy Training,Working Group,Xoloitzcuintli
Energetic,Occasional Bath/Brush,Seasonal,Agreeable,Herding Group,Stabyhoun
Energetic,Occasional Bath/Brush,Seasonal,Agreeable,Hound Group,Curly Coated Retriever
Energetic,Occasional Bath/Brush,Seasonal,Eager to Please,Herding Group,Greyhound
Energetic,Occasional Bath/Brush,Seasonal,Easy Training,Herding Group,American English Coonhound
Energetic,Occasional Bath/Brush,Seasonal,Easy Training,Working Group,Bullmastiff
Energetic,Occasional Bath/Brush,Seasonal,Independent,Hound Group,Bracco Italiano
Energetic,Occasional Bath/Brush,Seasonal,Independent,Hound Group,Cane Corso
Energetic,Occasional Bath/Brush,Seasonal,Independent,Hound Group,Plott
Energetic,Weekly Brushing,Frequent,Independent,Herding Group,Cardigan Welsh Corgi
Energetic,Weekly Brushing,Infrequent,Agreeable,Toy Group,Pointer
Energetic,Weekly Brushing,Infrequent,Independent,Herding Group,Australian Shepherd
Energetic,Weekly Brushing,Occasional,Agreeable,Terrier Group,Bull Terrier
Energetic,Weekly Brushing,Occasional,Agreeable,Terrier Group,Pembroke Welsh Corgi
Energetic,Weekly Brushing,Occasional,Agreeable,Working Group,Chinook
Energetic,Weekly Brushing,Occasional,Eager to Please,Sporting Group,Welsh Springer Spaniel
Energetic,Weekly Brushing,Occasional,Eager to Please,Toy Group,Norwegian Buhund
Energetic,Weekly Brushing,Occasional,Easy Training,Foundation Stock Service,Australian Kelpie
Energetic,Weekly Brushing,Occasional,Independent,Toy Group,Pharaoh Hound
Energetic,Weekly Brushing,Regularly,Agreeable,Non-Sporting Group,Borzoi
Energetic,Weekly Brushing,Regularly,Agreeable,Sporting Group,Petit Basset Griffon Vendeen
Energetic,Weekly Brushing,Regularly,Agreeable,Sporting Group,Vizsla
Energetic,Weekly Brushing,Regularly,Independent,Foundation Stock Service,Icelandic Sheepdog
Energetic,Weekly Brushing,Regularly,May be Stubborn,Non-Sporting Group,Siberian Husky
Energetic,Weekly Brushing,Reserved with Strangers,Independent,Foundation Stock Service,Greater Swiss Mountain Dog
Energetic,Weekly Brushing,Seasonal,Agreeable,Herding Group,Dalmatian
Energetic,Weekly Brushing,Seasonal,Agreeable,Toy Group,Belgian Malinois
Energetic,Weekly Brushing,Seasonal,Agreeable,Working Group,Boxer
